Country,year,Public health,Soil,Discarded vechiles
European Union - 27 countries (from 2020),2010,1930000.0,383280000.0,5590000.0
European Union - 28 countries (2013-2020),2010,2320000.0,428830000.0,6960000.0
Belgium,2010,104549.0,3923085.0,334156.0
Bulgaria,2010,2339.0,49307.0,305.0
Czechia,2010,28849.0,6933102.0,3374.0
Denmark,2010,5812.0,3030358.0,12128.0
Germany,2010,279068.0,104413608.0,528752.0
Estonia,2010,2634.0,380902.0,12709.0
Ireland,2010,40937.0,1094612.0,44082.0
Greece,2010,17500.0,375503.0,64128.0
Spain,2010,476063.0,200775.0,108469.0
France,2010,448471.0,182679045.0,1798585.0
Croatia,2010,4302.0,73038.0,31040.0
Italy,2010,156051.0,15363884.0,1705378.0
Cyprus,2010,406.0,944917.0,11796.0
Latvia,2010,2139.0,4497.0,9650.0
Lithuania,2010,1605.0,43864.0,16380.0
Luxembourg,2010,3970.0,8293672.0,4701.0
Hungary,2010,26138.0,919925.0,19145.0
Malta,2010,232.0,14579.5,13945.0
Netherlands,2010,17657.0,7327270.0,245838.0
Austria,2010,63029.0,24740592.0,107538.0
Poland,2010,58174.0,16823208.0,2602.0
Portugal,2010,40369.0,198673.0,96242.0
Romania,2010,40348.0,205343.0,162276.0
Slovenia,2010,14975.0,164072.0,5422.0
Slovakia,2010,43895.0,698573.0,38036.0
Finland,2010,5842.0,62346.0,42000.0
Sweden,2010,43795.0,4711449.0,254003.0
Iceland,2010,160.0,93807.5,41.0
Liechtenstein,2010,5.0,471697.0,9.0
Norway,2010,459.0,1382456.0,123263.0
United Kingdom,2010,389380.0,45550666.0,1372599.0
Bosnia and Herzegovina,2010,1.0,28966.0,26.0
Montenegro,2010,692.0,123975.0,113.0
North Macedonia,2010,983.0,2461.0,264.0
Serbia,2010,4041.0,222365.0,2006.0
Türkiye,2010,60206.0,1312750.0,564.0
European Union - 27 countries (from 2020),2012,1770000.0,368510000.0,4850000.0
European Union - 28 countries (2013-2020),2012,2170000.0,414940000.0,5910000.0
Belgium,2012,96614.0,3177487.0,346317.0
Bulgaria,2012,2638.0,108951.0,243.0
Czechia,2012,30282.0,6417517.0,3791.0
Denmark,2012,6391.0,3822724.0,5546.0
Germany,2012,302501.0,107537293.0,486851.0
Estonia,2012,2533.0,547319.0,12709.0
Ireland,2012,37497.0,1126244.0,45578.0
Greece,2012,16299.0,2322.0,76826.0
Spain,2012,361163.0,219300.0,250087.0
France,2012,498503.0,173494398.0,1495863.0
Croatia,2012,2933.0,393279.0,31162.0
Italy,2012,146078.0,12925582.0,1162593.0
Cyprus,2012,543.0,837672.0,13817.0
Latvia,2012,3433.0,60830.0,10098.0
Lithuania,2012,1683.0,63552.0,25134.0
Luxembourg,2012,2222.0,6527050.0,2980.0
Hungary,2012,23511.0,1010279.0,16293.0
Malta,2012,311.0,14579.5,17294.0
Netherlands,2012,23572.0,7016739.0,250216.0
Austria,2012,35251.0,26750750.0,57090.0
Poland,2012,46312.0,10958680.0,2977.0
Portugal,2012,60857.0,264457.0,87020.0
Romania,2012,35300.0,375761.0,50732.0
Slovenia,2012,11905.0,155261.0,6242.0
Slovakia,2012,18961.0,196912.0,38036.0
Finland,2012,449.0,25374.0,62000.0
Sweden,2012,4777.0,4489475.0,281049.0
Iceland,2012,124.0,93807.5,41.0
Liechtenstein,2012,3.5,471697.0,5.0
Norway,2012,733.0,1382456.0,216205.0
United Kingdom,2012,392920.0,46439109.0,1059846.0
Bosnia and Herzegovina,2012,1.0,20771.0,30.0
Montenegro,2012,526.0,101918.0,28.0
