,Countries,Year,Total waste in tonnes
0,European Union - 27 countries (from 2020),2010,2212900000.0
1,European Union - 28 countries (2013-2020),2010,2454710000.0
2,Belgium,2010,61345803.0
3,Bulgaria,2010,167396268.0
4,Czechia,2010,23757566.0
5,Denmark,2010,16217736.0
6,Germany,2010,363544995.0
7,Estonia,2010,19000195.0
8,Ireland,2010,19807586.0
9,Greece,2010,70432705.0
10,Spain,2010,137518902.0
11,France,2010,355081245.0
12,Croatia,2010,3157672.0
13,Italy,2010,158627618.0
14,Cyprus,2010,2372750.0
15,Latvia,2010,1498200.0
16,Lithuania,2010,5578134.0
17,Luxembourg,2010,10441469.0
18,Hungary,2010,16735423.0
19,Malta,2010,1352994.0
20,Netherlands,2010,121145468.0
21,Austria,2010,46799579.0
22,Poland,2010,158661957.0
23,Portugal,2010,13640079.0
24,Romania,2010,201432951.0
25,Slovenia,2010,5986106.0
26,Slovakia,2010,9384112.0
27,Finland,2010,104336944.0
28,Sweden,2010,117645185.0
29,Iceland,2010,510941.0
30,Liechtenstein,2010,312180.0
31,Norway,2010,9432997.0
32,United Kingdom,2010,241808706.0
33,Bosnia and Herzegovina,2010,5925083.0
34,Montenegro,2010,1141812.0
35,North Macedonia,2010,2327590.0
36,Serbia,2010,33615918.0
37,Kosovo*,2010,2123293.0
38,European Union - 27 countries (from 2020),2012,2242540000.0
39,European Union - 28 countries (2013-2020),2012,2483800000.0
40,Belgium,2012,53839470.0
41,Bulgaria,2012,161252166.0
42,Czechia,2012,23171358.0
43,Denmark,2012,16713822.0
44,Germany,2012,368022172.0
45,Estonia,2012,21992343.0
46,Ireland,2012,12713021.0
47,Greece,2012,72328280.0
48,Spain,2012,118561669.0
49,France,2012,344440922.0
50,Croatia,2012,3611678.0
51,Italy,2012,154427046.0
52,Cyprus,2012,1875308.0
53,Latvia,2012,2309581.0
54,Lithuania,2012,5678751.0
55,Luxembourg,2012,8397228.0
56,Hungary,2012,16310151.0
57,Malta,2012,1456213.0
58,Netherlands,2012,121194466.0
59,Austria,2012,48045089.0
60,Poland,2012,162382959.0
61,Portugal,2012,13359517.0
62,Romania,2012,249354926.0
63,Slovenia,2012,4546506.0
64,Slovakia,2012,8425384.0
65,Finland,2012,91824193.0
66,Sweden,2012,156306504.0
67,Iceland,2012,529351.0
68,Liechtenstein,2012,466547.0
69,Norway,2012,10721599.0
70,United Kingdom,2012,241506743.0
71,Bosnia and Herzegovina,2012,4456556.0
72,Montenegro,2012,1014139.0
73,North Macedonia,2012,8472343.0
74,Serbia,2012,55002570.0
75,Kosovo*,2012,1166619.0
76,European Union - 27 countries (from 2020),2014,2243790000.0
77,European Union - 28 countries (2013-2020),2014,2506780000.0
78,Belgium,2014,57965392.0
79,Bulgaria,2014,179677011.0
80,Czechia,2014,23394956.0
81,Denmark,2014,20808843.0
82,Germany,2014,387504241.0
83,Estonia,2014,21804040.0
84,Ireland,2014,15166830.0
85,Greece,2014,69758868.0
86,Spain,2014,110518494.0
87,France,2014,324462969.0
88,Croatia,2014,3724563.0
89,Italy,2014,157870348.0
90,Cyprus,2014,1978699.0
91,Latvia,2014,2621495.0
92,Lithuania,2014,6200450.0
93,Luxembourg,2014,7072758.0
94,Hungary,2014,16650639.0
95,Malta,2014,1672810.0
96,Netherlands,2014,132362297.0
97,Austria,2014,55868298.0
98,Poland,2014,179179899.0
99,Portugal,2014,14368003.0
100,Romania,2014,176607415.0
101,Slovenia,2014,4686417.0
102,Slovakia,2014,8862778.0
103,Finland,2014,95969888.0
104,Sweden,2014,167026886.0
